book_id,isbn,title,author_id,genre,language,format,pages,price,copies_sold,rating,status,publish_date
1,ISBN-100001,A Thousand Miles 838,16,Self-Help,Filipino,Paperback,778,737.22,141577,1.81,out_of_print,2016-04-03
2,ISBN-100002,The Silent Storm 438,24,Self-Help,Japanese,Audiobook,561,2089.12,341647,2.32,upcoming,2013-04-29
3,ISBN-100003,The Burning Sky 7,21,Fantasy,English,Audiobook,830,1745.85,202465,2.8,published,2007-05-19
4,ISBN-100004,Into the Unknown 433,17,Fantasy,French,E-Book,494,901.74,256931,3.79,out_of_print,2014-01-10
5,ISBN-100005,The Missing Piece 714,20,Self-Help,French,Audiobook,412,1535.78,324186,2.74,out_of_print,1982-01-24
6,ISBN-100006,The Final Chapter 938,49,History,Filipino,Paperback,244,2422.83,324214,2.19,out_of_print,1991-10-07
7,ISBN-100007,Shattered Illusions 859,3,History,English,E-Book,470,577.25,486467,1.78,published,1993-05-14
8,ISBN-100008,Falling into Place 247,17,Fantasy,Filipino,E-Book,108,679.14,232883,1.07,published,2015-12-05
9,ISBN-100009,Dark Reflections 130,12,Biography,Filipino,Hardcover,194,385.68,282252,3.4,out_of_print,1990-09-27
10,ISBN-100010,Beyond the Horizon 432,10,Fiction,French,Hardcover,485,1354.64,98616,3.65,published,1982-10-05
11,ISBN-100011,When Stars Fall 552,41,History,French,Paperback,391,2389.73,92500,2.93,published,2015-08-30
12,ISBN-100012,When Stars Fall 812,17,Fantasy,Japanese,Hardcover,162,1293.95,473991,2.09,published,2013-04-20
13,ISBN-100013,Searching for Light 165,45,Mystery,Spanish,Audiobook,696,2428.04,49160,1.45,published,2004-11-29
14,ISBN-100014,Whispers of Time 696,36,Mystery,Japanese,Audiobook,653,1894.72,47568,2.64,out_of_print,1995-12-23
15,ISBN-100015,When Stars Fall 716,47,Biography,Japanese,Hardcover,792,408.72,483180,4.16,upcoming,1986-09-14
16,ISBN-100016,Into the Unknown 905,16,Self-Help,English,Paperback,450,2449.87,388035,3.55,upcoming,2000-11-10
17,ISBN-100017,The Golden Age 508,5,History,Filipino,Hardcover,605,430.57,168717,4.31,published,2000-05-12
18,ISBN-100018,The Endless Road 228,7,History,French,E-Book,872,1361.51,277433,1.44,published,1980-06-13
19,ISBN-100019,The Perfect Storm 85,24,Self-Help,French,Audiobook,545,1213.04,339581,4.41,out_of_print,1993-12-26
20,ISBN-100020,The Open Door 342,31,Non-Fiction,Spanish,E-Book,196,792.47,239937,3.27,upcoming,2013-11-23
21,ISBN-100021,The Unseen Path 225,29,Self-Help,Japanese,Audiobook,823,2295.42,352690,3.8,out_of_print,1983-09-12
22,ISBN-100022,Fragments of Hope 547,23,Science Fiction,French,E-Book,502,1352.04,290907,4.51,published,2014-11-08
23,ISBN-100023,Beyond the Horizon 224,49,History,Spanish,Audiobook,94,1115.06,409842,1.47,out_of_print,2006-08-02
24,ISBN-100024,The Turning Point 457,38,Fantasy,Japanese,E-Book,767,909.95,283425,4.17,out_of_print,2004-11-16
25,ISBN-100025,Searching for Light 435,36,Mystery,French,Audiobook,348,2341.9,375841,1.48,published,2002-07-23
26,ISBN-100026,The Missing Piece 628,39,History,English,Paperback,528,1680.64,38312,4.04,published,1998-09-03
27,ISBN-100027,A Thousand Miles 237,42,Fantasy,Spanish,Hardcover,435,2253.18,24998,3.19,published,2015-12-05
28,ISBN-100028,The Perfect Storm 514,49,History,Filipino,E-Book,694,670.48,93451,3.03,published,1996-06-10
29,ISBN-100029,Shattered Illusions 631,1,Science Fiction,English,Hardcover,606,928.55,72964,4.45,published,1991-06-22
30,ISBN-100030,Beneath the Surface 686,40,History,Japanese,E-Book,661,782.34,470020,3.33,published,1992-06-22
31,ISBN-100031,Broken Silence 901,46,Non-Fiction,English,E-Book,470,241.7,208664,2.62,upcoming,1992-07-16
32,ISBN-100032,The Perfect Storm 941,43,Science Fiction,Filipino,E-Book,844,1480.97,126848,1.28,out_of_print,2008-12-13
